Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
20-12-2023, 10, 12, 17.90, 62.30, 17.06
Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
20-12-2023, 10, 12, 18.20, 58.20, 17.31
20-12-2023, 10, 13, 18.20, 59.50, 17.63
20-12-2023, 10, 14, 18.40, 58.50, 17.81
20-12-2023, 10, 16, 18.50, 58.10, 18.00
20-12-2023, 10, 17, 18.70, 57.50, 18.19
Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
20-12-2023, 10, 18, 18.90, 57.10, 18.31
20-12-2023, 10, 19, 18.80, 56.90, 18.50
