Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
19-1-2024, 11, 3, 11.70, 85.50, 10.44
19-1-2024, 11, 7, 11.90, 85.50, 10.69
19-1-2024, 11, 11, 12.10, 84.90, 10.81
19-1-2024, 11, 15, 12.20, 84.50, 10.94
19-1-2024, 11, 19, 12.30, 84.20, 11.00
19-1-2024, 11, 23, 12.40, 83.30, 11.19
19-1-2024, 11, 28, 12.50, 83.40, 11.38
19-1-2024, 11, 32, 12.70, 83.70, 11.50
19-1-2024, 11, 36, 12.70, 82.00, 11.63
19-1-2024, 11, 40, 12.80, 82.20, 11.69
19-1-2024, 11, 44, 12.80, 81.80, 11.56
19-1-2024, 11, 48, 12.70, 81.30, 11.63
19-1-2024, 11, 52, 12.70, 82.00, 11.63
19-1-2024, 11, 56, 12.70, 81.80, 11.56
